Country,Year,LCC
58,2012,FALSE
59,2012,FALSE
60,2012,FALSE
61,2012,FALSE
62,2012,FALSE
63,2012,
64,2012,TRUE
65,2012,FALSE
66,2012,TRUE
67,2012,
68,2012,
69,2012,FALSE
70,2012,FALSE
71,2012,FALSE
72,2012,
73,2012,TRUE
74,2012,TRUE
75,2012,FALSE
76,2012,FALSE
77,2012,FALSE
78,2012,
79,2012,FALSE
80,2012,
81,2012,FALSE
82,2012,
83,2012,FALSE
84,2012,
85,2012,TRUE
86,2012,TRUE
87,2012,FALSE
88,2012,
89,2012,FALSE
90,2012,FALSE
91,2012,FALSE
92,2012,FALSE
93,2012,TRUE
94,2012,FALSE
95,2012,FALSE
96,2012,
97,2012,FALSE
98,2012,FALSE
99,2012,FALSE
100,2012,FALSE
101,2012,FALSE
102,2012,
103,2012,FALSE
104,2012,FALSE
105,2012,FALSE
106,2012,
107,2012,FALSE
108,2012,
109,2012,FALSE
110,2012,TRUE
111,2012,FALSE
112,2012,FALSE
113,2012,TRUE
114,2012,TRUE
115,2012,
116,2012,
117,2012,FALSE
118,2012,FALSE
119,2012,FALSE
120,2012,TRUE
121,2012,TRUE
122,2012,FALSE
123,2012,FALSE
124,2012,TRUE
125,2012,FALSE
126,2012,
127,2012,TRUE
128,2012,FALSE
129,2012,
130,2012,FALSE
131,2012,
132,2012,FALSE
133,2012,FALSE
134,2012,FALSE
135,2012,FALSE
136,2012,
137,2012,FALSE
138,2012,TRUE
139,2012,TRUE
140,2012,FALSE
141,2012,
142,2012,TRUE
143,2012,
144,2012,FALSE
145,2012,
146,2012,FALSE
147,2012,FALSE
148,2012,TRUE
149,2012,TRUE
150,2012,
151,2012,
152,2012,
153,2012,FALSE
154,2012,FALSE
155,2012,TRUE
156,2012,
157,2012,FALSE
158,2012,FALSE
159,2012,
160,2012,FALSE
161,2012,FALSE
162,2012,FALSE
163,2012,FALSE
164,2012,FALSE
165,2012,
166,2012,FALSE
167,2012,FALSE
168,2012,FALSE
169,2012,TRUE
170,2012,
171,2012,
172,2012,
173,2012,FALSE
174,2012,TRUE
175,2012,FALSE
176,2012,FALSE
177,2012,
178,2012,FALSE
179,2012,FALSE
180,2012,FALSE
181,2012,TRUE
182,2012,
183,2012,FALSE
184,2012,
185,2012,FALSE
186,2012,FALSE
187,2012,
188,2012,FALSE
189,2012,FALSE
190,2012,
191,2012,FALSE
192,2012,FALSE
193,2012,FALSE
194,2012,TRUE
195,2012,FALSE
196,2012,FALSE
197,2012,FALSE
198,2012,
199,2012,
200,2012,TRUE
201,2012,FALSE
202,2012,FALSE
203,2012,
204,2012,
205,2012,
206,2012,
207,2012,FALSE
208,2012,FALSE
209,2012,FALSE
210,2012,
211,2012,
212,2012,
213,2012,TRUE
214,2012,FALSE
215,2012,FALSE
