,Country,Year,LCC
945,33,2010,TRUE
946,34,2010,NULL
947,35,2010,TRUE
948,36,2010,TRUE
949,37,2010,FALSE
950,38,2010,FALSE
951,39,2010,NULL
952,40,2010,NULL
953,41,2010,TRUE
954,42,2010,FALSE
955,43,2010,FALSE
956,44,2010,NULL
957,45,2010,FALSE
958,46,2010,NULL
959,47,2010,TRUE
960,48,2010,TRUE
961,49,2010,FALSE
962,50,2010,TRUE
963,51,2010,FALSE
964,52,2010,FALSE
965,53,2010,FALSE
966,54,2010,FALSE
967,55,2010,NULL
968,56,2010,FALSE
969,57,2010,TRUE
970,58,2010,FALSE
971,59,2010,FALSE
972,60,2010,FALSE
973,61,2010,FALSE
974,62,2010,FALSE
975,63,2010,TRUE
976,64,2010,TRUE
977,65,2010,FALSE
978,66,2010,TRUE
979,67,2010,NULL
980,68,2010,NULL
981,69,2010,FALSE
982,70,2010,FALSE
983,71,2010,FALSE
984,72,2010,NULL
985,73,2010,FALSE
986,74,2010,TRUE
987,75,2010,FALSE
988,76,2010,FALSE
989,77,2010,TRUE
990,78,2010,NULL
991,79,2010,FALSE
992,80,2010,NULL
993,81,2010,FALSE
994,82,2010,NULL
995,83,2010,FALSE
996,84,2010,NULL
997,85,2010,NULL
998,86,2010,TRUE
999,87,2010,FALSE
1000,88,2010,NULL
1001,89,2010,FALSE
1002,90,2010,FALSE
1003,91,2010,FALSE
1004,92,2010,FALSE
1005,93,2010,FALSE
1006,94,2010,FALSE
1007,95,2010,FALSE
1008,96,2010,NULL
1009,97,2010,FALSE
1010,98,2010,FALSE
1011,99,2010,FALSE
1012,100,2010,FALSE
1013,101,2010,FALSE
1014,102,2010,NULL
1015,103,2010,FALSE
1016,104,2010,FALSE
1017,105,2010,TRUE
1018,106,2010,NULL
1019,107,2010,FALSE
1020,108,2010,FALSE
1021,109,2010,FALSE
1022,110,2010,TRUE
1023,111,2010,FALSE
1024,112,2010,FALSE
1025,113,2010,TRUE
1026,114,2010,TRUE
1027,115,2010,NULL
1028,116,2010,NULL
1029,117,2010,FALSE
1030,118,2010,FALSE
1031,119,2010,FALSE
1032,120,2010,TRUE
1033,121,2010,TRUE
1034,122,2010,FALSE
1035,123,2010,FALSE
1036,124,2010,TRUE
1037,125,2010,FALSE
1038,126,2010,NULL
1039,127,2010,TRUE
1040,128,2010,FALSE
1041,129,2010,NULL
1042,130,2010,FALSE
1043,131,2010,NULL
1044,132,2010,FALSE
1045,133,2010,FALSE
1046,134,2010,FALSE
1047,135,2010,FALSE
1048,136,2010,NULL
1049,137,2010,FALSE
1050,138,2010,TRUE
1051,139,2010,TRUE
1052,140,2010,FALSE
1053,141,2010,NULL
1054,142,2010,TRUE
1055,143,2010,NULL
1056,144,2010,FALSE
1057,145,2010,NULL
1058,146,2010,FALSE
1059,147,2010,FALSE
1060,148,2010,NULL
1061,149,2010,TRUE
1062,150,2010,NULL
1063,151,2010,NULL
1064,152,2010,NULL
1065,153,2010,FALSE
1066,154,2010,FALSE
1067,155,2010,TRUE
1068,156,2010,NULL
1069,157,2010,NULL
1070,158,2010,FALSE
1071,159,2010,NULL
1072,160,2010,FALSE
1073,161,2010,FALSE
1074,162,2010,FALSE
1075,163,2010,FALSE
1076,164,2010,FALSE
1077,165,2010,NULL
1078,166,2010,FALSE
1079,167,2010,FALSE
1080,168,2010,FALSE
1081,169,2010,TRUE
1082,170,2010,NULL
1083,171,2010,FALSE
1084,172,2010,NULL
1085,173,2010,FALSE
1086,174,2010,TRUE
1087,175,2010,FALSE
1088,176,2010,FALSE
1089,177,2010,NULL
1090,178,2010,FALSE
1091,179,2010,FALSE
1092,180,2010,FALSE
1093,181,2010,TRUE
1094,182,2010,NULL
1095,183,2010,FALSE
1096,184,2010,NULL
1097,185,2010,FALSE
1098,186,2010,FALSE
1099,187,2010,NULL
1100,188,2010,FALSE
1101,189,2010,FALSE
1102,190,2010,NULL
1103,191,2010,FALSE
1104,192,2010,TRUE
1105,193,2010,FALSE
1106,194,2010,NULL
1107,195,2010,FALSE
1108,196,2010,FALSE
1109,197,2010,FALSE
1110,198,2010,NULL
1111,199,2010,NULL
1112,200,2010,TRUE
1113,201,2010,FALSE
1114,202,2010,FALSE
1115,203,2010,NULL
1116,204,2010,TRUE
1117,205,2010,NULL
1118,206,2010,FALSE
1119,207,2010,FALSE
1120,208,2010,FALSE
1121,209,2010,FALSE
1122,210,2010,NULL
1123,211,2010,NULL
1124,212,2010,NULL
1125,213,2010,TRUE
1126,214,2010,FALSE
1127,215,2010,FALSE
1128,216,2010,FALSE
1129,217,2010,FALSE
1130,218,2010,FALSE
1131,219,2010,NULL
1132,220,2010,FALSE
1133,221,2010,NULL
1134,222,2010,FALSE
1135,223,2010,FALSE
1136,224,2010,NULL
1137,225,2010,NULL
1138,226,2010,NULL
1139,227,2010,TRUE
1140,228,2010,TRUE
1141,1,2008,NULL
1142,2,2008,FALSE
1143,3,2008,FALSE
1144,4,2008,NULL
1145,5,2008,NULL
1146,6,2008,TRUE
1147,7,2008,NULL
1148,8,2008,FALSE
1149,9,2008,FALSE
1150,10,2008,FALSE
1151,11,2008,NULL
1152,12,2008,NULL
1153,13,2008,FALSE
1154,14,2008,FALSE
1155,15,2008,FALSE
1156,16,2008,NULL
1157,17,2008,FALSE
1158,18,2008,TRUE
1159,19,2008,FALSE
1160,20,2008,FALSE
1161,21,2008,FALSE
1162,22,2008,NULL
1163,23,2008,TRUE
1164,24,2008,NULL
1165,25,2008,TRUE
1166,26,2008,FALSE
1167,27,2008,FALSE
1168,28,2008,FALSE
1169,29,2008,FALSE
1170,30,2008,NULL
1171,31,2008,FALSE
1172,32,2008,FALSE
1173,33,2008,TRUE
1174,34,2008,NULL
1175,35,2008,TRUE
1176,36,2008,TRUE
