"CountryCode","Year","LCC","estimate"
109,2014,0,0
110,2008,1,0
110,2010,1,0
110,2011,1,0
110,2012,1,0
110,2013,1,0
110,2014,1,0
111,2008,0,0
111,2010,0,0
111,2011,0,0
111,2012,0,0
111,2013,0,0
111,2014,0,0
112,2008,0,0
112,2010,0,0
112,2011,0,0
112,2012,0,0
112,2013,0,0
112,2014,0,0
113,2008,NA,1
113,2010,1,0
113,2011,1,0
113,2012,1,0
113,2013,1,0
113,2014,1,0
114,2008,NA,1
114,2010,1,0
114,2011,1,0
114,2012,1,0
114,2013,1,0
114,2014,1,0
115,2008,NA,1
115,2010,NA,1
115,2011,NA,1
115,2012,NA,1
115,2013,NA,1
115,2014,0,1
116,2008,NA,1
116,2010,NA,1
116,2011,NA,1
116,2012,NA,1
116,2013,NA,1
116,2014,NA,1
117,2008,0,0
117,2010,0,0
117,2011,0,0
117,2012,0,0
117,2013,0,0
117,2014,0,0
118,2008,0,0
118,2010,0,0
118,2011,0,0
118,2012,0,0
118,2013,0,0
118,2014,0,0
119,2008,0,0
119,2010,0,0
119,2011,0,0
119,2012,0,0
119,2013,0,0
119,2014,0,0
120,2008,1,0
120,2010,1,0
120,2011,1,0
120,2012,1,0
120,2013,1,0
120,2014,1,0
121,2008,NA,1
121,2010,1,0
121,2011,1,0
121,2012,1,0
121,2013,1,0
121,2014,1,0
122,2008,0,0
122,2010,0,0
122,2011,0,0
122,2012,0,0
122,2013,0,0
122,2014,0,0
123,2008,0,0
123,2010,0,0
123,2011,0,0
123,2012,0,0
123,2013,0,0
123,2014,0,0
124,2008,1,0
124,2010,1,0
124,2011,1,0
124,2012,1,0
124,2013,1,0
124,2014,1,0
125,2008,0,0
125,2010,0,0
125,2011,0,0
125,2012,0,0
125,2013,0,0
125,2014,0,0
126,2008,NA,1
126,2010,NA,1
126,2011,NA,1
126,2012,NA,1
126,2013,NA,1
126,2014,NA,1
127,2008,1,0
127,2010,1,0
127,2011,1,0
127,2012,1,0
127,2013,1,0
127,2014,1,0
128,2008,0,0
128,2010,0,0
128,2011,0,0
128,2012,0,0
128,2013,0,0
128,2014,0,0
129,2008,NA,1
129,2010,NA,1
129,2011,NA,1
129,2012,NA,1
129,2013,NA,1
129,2014,NA,1
130,2008,0,0
130,2010,0,0
130,2011,0,0
130,2012,0,0
130,2013,0,0
130,2014,0,0
131,2008,NA,1
131,2010,NA,1
131,2011,NA,1
131,2012,NA,1
131,2013,NA,1
131,2014,NA,1
132,2008,0,0
132,2010,0,0
132,2011,0,0
132,2012,0,0
132,2013,0,0
132,2014,0,0
133,2008,NA,1
133,2010,0,0
133,2011,NA,1
133,2012,0,0
133,2013,0,0
133,2014,0,0
134,2008,0,0
134,2010,0,0
134,2011,0,0
134,2012,0,0
134,2013,0,0
134,2014,0,0
135,2008,0,0
135,2010,0,0
135,2011,NA,1
135,2012,0,0
135,2013,0,0
135,2014,0,0
136,2008,NA,1
136,2010,NA,1
136,2011,NA,1
136,2012,NA,1
136,2013,NA,1
136,2014,NA,1
137,2008,0,0
137,2010,0,0
137,2011,0,0
137,2012,0,0
137,2013,0,0
137,2014,0,0
138,2008,1,0
138,2010,1,0
138,2011,1,0
138,2012,1,0
138,2013,1,0
138,2014,1,0
139,2008,NA,1
139,2010,1,0
139,2011,1,0
139,2012,1,0
139,2013,1,0
139,2014,1,0
140,2008,0,0
140,2010,0,0
140,2011,0,0
140,2012,0,0
140,2013,0,0
140,2014,0,0
141,2008,NA,1
141,2010,NA,1
141,2011,NA,1
141,2012,NA,1
141,2013,NA,1
141,2014,NA,1
142,2008,1,0
142,2010,1,0
142,2011,NA,1
142,2012,1,0
142,2013,1,0
142,2014,1,0
143,2008,NA,1
143,2010,NA,1
143,2011,NA,1
143,2012,NA,1
143,2013,NA,1
143,2014,NA,1
144,2008,0,0
144,2010,0,0
144,2011,0,0
144,2012,0,0
144,2013,0,0
144,2014,0,0
145,2008,NA,1
145,2010,NA,1
145,2011,NA,1
145,2012,NA,1
145,2013,NA,1
145,2014,0,1
146,2008,0,0
146,2010,0,0
146,2011,0,0
146,2012,0,0
146,2013,0,0
146,2014,0,0
147,2008,0,0
147,2010,0,0
147,2011,0,0
147,2012,0,0
147,2013,0,0
147,2014,0,0
148,2008,1,0
148,2010,NA,1
148,2011,1,0
148,2012,1,0
148,2013,1,0
148,2014,1,1
149,2008,1,0
149,2010,1,0
149,2011,1,0
149,2012,1,0
149,2013,1,0
149,2014,1,0
150,2008,NA,1
150,2010,NA,1
150,2011,NA,1
150,2012,NA,1
150,2013,NA,1
150,2014,NA,1
151,2008,NA,1
151,2010,NA,1
151,2011,NA,1
151,2012,NA,1
151,2013,NA,1
151,2014,NA,1
152,2008,NA,1
152,2010,NA,1
152,2011,NA,1
152,2012,NA,1
152,2013,NA,1
152,2014,NA,1
153,2008,0,0
153,2010,0,0
153,2011,0,0
153,2012,0,0
153,2013,0,0
153,2014,0,0
154,2008,0,0
154,2010,0,0
154,2011,0,0
154,2012,0,0
154,2013,0,0
154,2014,0,0
155,2008,1,0
155,2010,1,0
155,2011,1,0
155,2012,1,0
155,2013,1,0
155,2014,1,0
156,2008,NA,1
156,2010,NA,1
156,2011,NA,1
156,2012,NA,1
156,2013,NA,1
156,2014,NA,1
157,2008,NA,1
157,2010,NA,1
157,2011,NA,1
157,2012,0,0
157,2013,0,0
157,2014,0,1
158,2008,0,0
158,2010,0,0
158,2011,0,0
158,2012,0,0
158,2013,0,0
158,2014,0,0
159,2008,1,0
159,2010,NA,1
159,2011,NA,1
159,2012,NA,1
159,2013,NA,1
159,2014,1,1
160,2008,0,0
160,2010,0,0
160,2011,0,0
160,2012,0,0
160,2013,0,0
160,2014,0,0
161,2008,0,0
161,2010,0,0
161,2011,0,0
161,2012,0,0
161,2013,0,0
161,2014,0,0
162,2008,0,0
162,2010,0,0
162,2011,0,0
162,2012,0,0
162,2013,0,0
162,2014,0,0
163,2008,0,0
163,2010,0,0
163,2011,0,0
163,2012,0,0
163,2013,0,0
163,2014,0,0
164,2008,0,0
164,2010,0,0
